organization,id,key,name,qualifier
default-organization,AV0Hx_JIvo5qzPVJKvCo,QC:jhotdraw,QC - jhotdraw,TRK
default-organization,AV0Hy2iUvo5qzPVJKvCs,QC:jmeter,QC - jmeter,TRK
default-organization,AV0Hy_xJvo5qzPVJKvCw,QC:jmoney,QC - jmoney,TRK
default-organization,AV0HzUDAvo5qzPVJKvCy,QC:joggplayer,QC - joggplayer,TRK
default-organization,AV0IEyGxvo5qzPVJKvDE,QC:jparse,QC - jparse,TRK
default-organization,AV0IE8n5vo5qzPVJKvDG,QC:jpf,QC - jpf,TRK
default-organization,AV0TxGG7LhPVrfLDw6TC,QC:jrefactory,QC - jrefactory,TRK
default-organization,AV0JGokhLhPVrfLDw6R4,QC:jruby,QC - jruby,TRK
default-organization,AV0I6Za2LhPVrfLDw6Rk,QC:jspwiki,QC - jspwiki,TRK
default-organization,AV0I5g6CLhPVrfLDw6Rc,QC:jsXe,QC - jsXe,TRK
default-organization,AV0JIqzxLhPVrfLDw6R6,QC:jtopen,QC - jtopen,TRK
default-organization,AV0JJG9HLhPVrfLDw6R-,QC:jung,QC - jung,TRK
default-organization,AV0TrRyILhPVrfLDw6S-,QC:log4j,QC - log4j,TRK
default-organization,AV0Tw2FgLhPVrfLDw6TA,QC:lucene,QC - lucene,TRK
default-organization,AV0IQroavo5qzPVJKvDX,QC:marauroa,QC - marauroa,TRK
default-organization,AV0IRdLQvo5qzPVJKvDb,QC:maven,QC - maven,TRK
default-organization,AV0ITCUMvo5qzPVJKvDh,QC:megamek,QC - megamek,TRK
default-organization,AV0Jo_IJLhPVrfLDw6SM,QC:mvnforum,QC - mvnforum,TRK
default-organization,AV0JI6toLhPVrfLDw6R8,QC:myfaces_core,QC - myfaces core,TRK
default-organization,AV0JrSSALhPVrfLDw6SO,QC:nakedobjects,QC - nakedobjects,TRK
default-organization,AV0Jra5vLhPVrfLDw6SQ,QC:nekohtml,QC - nekohtml,TRK
default-organization,AV0IRqatvo5qzPVJKvDd,QC:openjms,QC - openjms,TRK
default-organization,AV0IR1nyvo5qzPVJKvDf,QC:oscache,QC - oscache,TRK
default-organization,AV0Kd3cFLhPVrfLDw6SU,QC:picocontainer,QC - picocontainer,TRK
default-organization,AV0I6F40LhPVrfLDw6Rg,QC:pmd,QC - pmd,TRK
default-organization,AV0I70L3LhPVrfLDw6Ro,QC:poi,QC - poi,TRK
default-organization,AV0du6fvLhPVrfLDw6TG,QC:pooka,QC - pooka,TRK
default-organization,AV0MgBakLhPVrfLDw6Sv,QC:proguard,QC - proguard,TRK
default-organization,AV0MgURJLhPVrfLDw6Sz,QC:quartz,QC - quartz,TRK
default-organization,AV0HxFH3vo5qzPVJKvCk,QC:quickserver,QC - quickserver,TRK
default-organization,AV0HyJ44vo5qzPVJKvCq,QC:quilt,QC - quilt,TRK
default-organization,AV0Hy-c7vo5qzPVJKvCu,QC:roller,QC - roller,TRK
default-organization,AV0HzyGXvo5qzPVJKvC4,QC:rssowl,QC - rssowl,TRK
default-organization,AV0H0BkXvo5qzPVJKvC6,QC:sablecc,QC - sablecc,TRK
default-organization,AV0H07PUvo5qzPVJKvC8,QC:sandmark,QC - sandmark,TRK
default-organization,AV0SRmBmLhPVrfLDw6S8,QC:springframework,QC - springframework,TRK
default-organization,AV0ITU2Cvo5qzPVJKvDj,QC:squirrel_sql,QC - squirrel sql,TRK
default-organization,AV0IU8nJvo5qzPVJKvDl,QC:struts,QC - struts,TRK
default-organization,AV0IVgoxvo5qzPVJKvDn,QC:sunflow,QC - sunflow,TRK
default-organization,AV0IW-j2vo5qzPVJKvDp,QC:tapestry,QC - tapestry,TRK
default-organization,AV0IbVH3vo5qzPVJKvD6,QC:tomcat,QC - tomcat,TRK
default-organization,AV0KqmDkLhPVrfLDw6Sg,QC:trove,QC - trove,TRK
default-organization,AV0KqeMJLhPVrfLDw6Se,QC:velocity,QC - velocity,TRK
default-organization,AV0JJ2ZWLhPVrfLDw6SA,QC:wct,QC - wct,TRK
default-organization,AV0KjHNNLhPVrfLDw6Sc,QC:webmail,QC - webmail,TRK
default-organization,AV0KgJNdLhPVrfLDw6Sa,QC:weka,QC - weka,TRK
default-organization,AV0JMaW7LhPVrfLDw6SC,QC:xalan,QC - xalan,TRK
default-organization,AV0KewInLhPVrfLDw6SY,QC:xerces,QC - xerces,TRK
default-organization,AV0Kd_pALhPVrfLDw6SW,QC:xmojo,QC - xmojo,TRK
default-organization,AVvxy6hySPfpgfd8E4Sh,sasabus,SASA Bus Android App,TRK
default-organization,AV4sqiEz0dU_fr34bZol,shell,Shell,TRK
default-organization,1d5535a0-90f2-4c00-a3eb-74d634e8594d,TIS:vtraffic,vtraffic,TRK
default-organization,1968f191-b0ed-4734-9cab-306ac66c5aad,TIS:w2panalytics,w2panalytics,TRK
default-organization,AVzy6ANCvbeNG4GVzrZN,QC:ant,âQC - antâ,TRK
