project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
gerrit,AW9mrTV000a1E-sk8NLw,AW9mrTV000a1E-sk8NLw,AW9mrBxR00a1E-sk773z,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,CLOSED,FIXED,5,5,unused,2011-07-15 19:42:07,2011-08-10 17:09:27,2011-08-10 17:09:27,This block of commented-out lines of code should be removed.,gerrit:gerrit-server/src/main/java/gerrit/PRED_commit_edits_2.java,3.0,3.0,0.0,66.0,9c855f2083a99d0b36a9c7e896c72938,False
gerrit,AW9mrTV000a1E-sk8NLw,AW9mrTV000a1E-sk8NLw,AW9mrBxN00a1E-sk773r,CODE_SMELL,squid:S00101,MINOR,CLOSED,FIXED,5,5,convention,2011-07-15 19:42:07,2011-08-10 17:09:27,2011-08-10 17:09:27,Rename this class name to match the regular expression '^[A-Z][a-zA-Z0-9]*$'.,gerrit:gerrit-server/src/main/java/gerrit/PRED_commit_message_1.java,34.0,34.0,13.0,34.0,edccbc5be95c491b668c952e8a6bd009,False
gerrit,AW9mrTV000a1E-sk8NLw,AW9mrTV000a1E-sk8NLw,AW9mrBxN00a1E-sk773s,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,CLOSED,FIXED,5,5,unused,2011-07-15 19:42:07,2011-08-10 17:09:27,2011-08-10 17:09:27,This block of commented-out lines of code should be removed.,gerrit:gerrit-server/src/main/java/gerrit/PRED_commit_message_1.java,3.0,3.0,0.0,66.0,9c855f2083a99d0b36a9c7e896c72938,False
gerrit,AW9mrBRv00a1E-sk77Tt,AW9mrTV000a1E-sk8NLw,AW9mrBv700a1E-sk772a,CODE_SMELL,squid:S2293,MINOR,OPEN,,1,1,clumsy,2011-07-15 19:41:42,2011-07-15 12:26:36,,"Replace the type specification in this constructor call with the diamond operator (""<>""). (sonar.java.source not set. Assuming 7 or greater.)",gerrit:gerrit-server/src/main/java/com/google/gerrit/rules/PrologEnvironment.java,70.0,70.0,28.0,38.0,90d2f30daf99e40edd05ec1d18d8e1b5,False
gerrit,AW9mrBRv00a1E-sk77Tt,AW9mrTV000a1E-sk8NLw,AW9mrBv700a1E-sk772b,CODE_SMELL,squid:S1181,MAJOR,OPEN,,20,20,"bad-practice,cert,cwe,error-handling",2011-07-15 19:41:42,2011-07-15 12:26:36,,Catch Exception instead of Throwable.,gerrit:gerrit-server/src/main/java/com/google/gerrit/rules/PrologEnvironment.java,134.0,134.0,15.0,24.0,8ae9439ad21d01f04c5dcb4b75516304,False
gerrit,AW9mrBRv00a1E-sk77Tt,AW9mrTV000a1E-sk8NLw,AW9mrBwF00a1E-sk772h,CODE_SMELL,squid:S1604,MAJOR,OPEN,,5,5,java8,2011-07-15 19:41:42,2011-07-15 12:26:36,,Make this anonymous inner class a lambda (sonar.java.source not set. Assuming 8 or greater.),gerrit:gerrit-server/src/main/java/com/google/gerrit/rules/StoredValues.java,95.0,95.0,27.0,35.0,395cc5a1fcec781d67e4a5237a3a03fa,False
gerrit,AW9mrBRv00a1E-sk77Tt,AW9mrTV000a1E-sk8NLw,AW9mrBfd00a1E-sk77pp,CODE_SMELL,squid:UselessImportCheck,MINOR,OPEN,,2,2,unused,2011-07-15 19:41:42,2011-07-15 12:26:36,,Remove this unused import 'java.util.LinkedList'.,gerrit:gerrit-server/src/main/java/com/google/gerrit/server/project/ChangeControl.java,49.0,49.0,0.0,28.0,c3792cedca2f399d7addbd7282ef0d33,False
gerrit,AW9mrBRv00a1E-sk77Tt,AW9mrTV000a1E-sk8NLw,AW9mrBfd00a1E-sk77pr,CODE_SMELL,squid:S2293,MINOR,OPEN,,1,1,clumsy,2011-07-15 19:41:42,2011-07-15 12:26:36,,"Replace the type specification in this constructor call with the diamond operator (""<>""). (sonar.java.source not set. Assuming 7 or greater.)",gerrit:gerrit-server/src/main/java/com/google/gerrit/server/project/ChangeControl.java,247.0,247.0,38.0,44.0,bc42de87f821663bb7fd5af0d03470ab,False
gerrit,AW9mrBRv00a1E-sk77Tt,AW9mrBRv00a1E-sk77Tt,AW9mrBwY00a1E-sk772-,CODE_SMELL,squid:S2293,MINOR,OPEN,,1,1,clumsy,2011-07-14 21:26:25,2011-07-15 12:26:36,,"Replace the type specification in this constructor call with the diamond operator (""<>""). (sonar.java.source not set. Assuming 7 or greater.)",gerrit:gerrit-server/src/main/java/com/google/gerrit/rules/StoredValue.java,28.0,28.0,26.0,29.0,4afa0643c0a3babe4b8af5c69937f825,False
gerrit,AW9mrBRv00a1E-sk77Tt,AW9mrBRv00a1E-sk77Tt,AW9mrBwY00a1E-sk772_,CODE_SMELL,squid:S2293,MINOR,OPEN,,1,1,clumsy,2011-07-14 21:26:25,2011-07-15 12:26:36,,"Replace the type specification in this constructor call with the diamond operator (""<>""). (sonar.java.source not set. Assuming 7 or greater.)",gerrit:gerrit-server/src/main/java/com/google/gerrit/rules/StoredValue.java,33.0,33.0,26.0,29.0,51de183b7fa74adeb9823923194ed861,False
